benchmark, result, time
C-s+o-wb-o+o-mb-o.litmus, , 9
C-mp+o-mb-o+o-mb-o.litmus, , 9
C-2+2w+o-wb-o+o-mb-o.litmus, , 9
C-r+o-wmb-o+o-rmb-o2.litmus, , 9
C-mp+o-wb-o+o-mb-o2.litmus, , 9
C-r+o-mb-o+o-rmb-o2.litmus, , 9
C-mp+o-mb-o+o-rb-o2.litmus, , 8
C-r+o-wmb-o+o-mb-o2.litmus, , 8
C-s+o-mb-o+o-mb-o.litmus, , 9
C-mp+o-wb-o+o-rb-o2.litmus, , 9
C-mp+o-mb-o+o-mb-o2.litmus, , 8
C-mp+o-wb-o+o-mb-o.litmus, , 9
C-2+2w+o-mb-o+o-mb-o.litmus, , 9
C-mp+o-wb-o+o-rb-o.litmus, , 9
C-s+o-mb-o+o-mb-o2.litmus, , 9
C-wrc+o-mb-o+o-mb-o2.litmus, , 11
C-sb+o-mb-o+o-mb-o.litmus, , 9
C-2+2w+o-mb-o+o-wb-o.litmus, , 9
C-wo+ro-mb-wo+wo-mb-ro.litmus, , 11
C-mp+o-mb-o+o-wmb-o.litmus, , 10
C-iriw+o-rmb-o+o-mb-o.litmus, , 17
C-mp+o-mb-o+o-rb-o.litmus, , 9
C-r+o-mb-o+o-mb-o2.litmus, , 9
C-r+o-mb-o+o-wb-o2.litmus, , 9
C-r+o-mb-o+o-wb-o.litmus, , 9
C-lb+o-mb-o+o-rmb-o.litmus, , 8
C-lb+o-mb-o+o-mb-o.litmus, , 9
C-s+o-wb-o+o-mb-o2.litmus, , 8
C-2+2w+o-wb-o+o-wb-o.litmus, , 9
C-wo+ro-mb-ro+wo-mb-ro.litmus, , 12
C-iriw+o-mb-o+o-mb-o.litmus, , 15
C-wrc+o-mb-o+o-rb-o2.litmus, , 11
C-wrc+o-mb-o+o-rb-o.litmus, , 12
C-r+o-o+o-o.litmus, , 8
C-isa2+rl-o-o-rul+rl-o-o-rul+o-srcu-o.litmus, , 14
C-w+ro-srcu-wo+rl-wo-ro-rul.litmus, , 11
C-w+o+ro-srcu-wo+rl-o-o-rul.litmus, , 12
C-iriw+rl-o-o-rul+o-srcu-o.litmus, , 16
C-lb+rl-o-o-rul+o-srcu-o.litmus, , 9
C-s+o-assign+rl-deref-rul.litmus, , 9
C-r+srcu+rl-rul.litmus, , 10
C-s+rl-o-rul+srcu.litmus, , 9
C-2+2w+rl-o-o-rul+o-srcu-o.litmus, , 9
C-w+rl-ro-ro-rul+wo-srcu-ro.litmus, , 13
C-w+ro-wo+wo-ro.litmus, , 10
C-wrc+o+rl-o-o-rul+o-srcu-o.litmus, , 13
C-sb+rl-rul+srcu.litmus, , 9
C-s+srcu+rl-o-rul.litmus, , 10
C-w+ro-ro+wo-ro.litmus, , 9
C-swap-mp+rl-o-o-rul+o-srcu-o.litmus, , 10
C-isa2+rl-o-o-rul+o-srcu-o+o-srcu-o.litmus, , 13
C-r+rl-rul+srcu.litmus, , 10
C-mp+o-srcu-o+rl-o-o+rul.litmus, , 8
C-wrc+o-o+o-o.litmus, , 11
C-wrc+o+o-srcu-o+rl-o-o-rul.litmus, , 13
C-dist-r+o+rl-o-o-rul+o-srcu-o.litmus, , 11
C-mp+rl-o-o-rul+o-srcu-o.litmus, , 9
C-iriw+o-o+o-o.litmus, , 16
C-LB-LWR+R-Dd+OB-O+OB-OB.litmus, , 18
C-RW-G+RW-G+RW-G+RW-Rr+RW-Ra+RW-R.litmus, , 140
C-LB-Lrw+R-Od+R-Ov+R-D.litmus, , 21
C-LB-LRW+R-Dd+OB-OB.litmus, , 13
C-WW-G+WW-B+WW-R.litmus, , 12
C-RR-GR+RR-R+RR-R.litmus, , 90
C-LB-LWW+R-Dd+R-A+R-Dd+R-A.litmus, , 28
C-LB-Lrw+R-D+R-D.litmus, , 16
C-RW-G+RW-B+RW-G+RW-B+RW-G+RW-G+RW-G+RW-B.litmus, , 756
C-LB-GRR+R-Dd+R-Dd+R-Dd+R-Dd.litmus, , 72
C-LB-GRR+R-Oc+R-Oc+OB-OB.litmus, , 27
C-LB-LWW+R-A+R-Oc+OB-O+OB-OB.litmus, , 32
C-RW-r+RW-C+RW-B+RW-B+RW-B.litmus, , 31
C-LB-LRR+R-Dd+R-A+R-Dd+R-A.litmus, , 55
C-RW-G+RW-RB+RW-G+RW-G+RW-G+RW-R+RW-R.litmus, , 355
C-RW-GR2+RW-R.litmus, , 11
C-WW-G+WW-R+WW-G+WW-G+WW-R+WW-R+WW-R+WW-R.litmus, , 831
C-LB-LWW+R-A+OB-O+OB-O+R-Oc.litmus, , 30
C-RW-G+RW-Rs+RW-RD+RW-G+RW-R+RW-G+RW-G+RW-R.litmus, , 614
C-RR-G+RR-R+RR-G+RR-G+RR-G+RR-R.litmus, 
C-RW-R3I+RW-R3I+RW-R3I.litmus, , 19
C-RR-G+RR-G+RR-R+RR-R+RR-G+RR-G+RR-R+RR-R.litmus, 
C-RW-Rs+RW-RD+RW-R+RW-R.litmus, , 21
C-RW-Rs+RW-RCD+RW-R+RW-R+RW-R+RW-R.litmus, , 101
C-LB-GRR+R-Dd+R-A+R-Oc+R-Oc.litmus, , 47
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R.litmus, , 1960
C-RW-G+RW-Rs+RW-RCD+RW-R+RW-G+RW-R.litmus, , 111
C-LB-GRW+R-A+R-A+R-A+R-A.litmus, , 77
C-RW-G+RW-Rr+RW-RC+RW-G+RW-G+RW-R.litmus, , 109
C-RR-G+RR-G+RR-G+RR-R+RR-G+RR-G+RR-R+RR-R.litmus, 
C-LB-LWW+R-Dd+OB-O+R-A+R-Oc.litmus, , 26
C-LB-LRW+R-Dd+R-Oc+R-Oc+RQ-A.litmus, , 29
C-RW-B+RW-B+RW-B+RW-B+RW-B+RW-B+RW-B.litmus, , 257
C-LB-GRR+R-Dd+R-A+R-Oc+OB-OB.litmus, , 62
C-LB-LRW+R-A+R-Oc+OB-O+R-Ok.litmus, , 35
C-LB-LWR+R-A+OB-O+R-Oc+OB-OB.litmus, , 32
C-WW-G+WW-G+WW-R+WW-G+WW-G+WW-G+WW-R+WW-R.litmus, , 748
C-LB-LRW+R-Od+R-Dd+R-Oc+R-A.litmus, , 21
C-RW-G+RW-Rr+RW-Ra+RW-R+RW-R.litmus, , 55
C-WR-G+WR-G+WR-G+WR-G+WR-R+WR-R.litmus, , 127
C-LB-LRW+R-Dd+OB-O+R-Oc.litmus, , 15
C-LB-LRR+R-A+OB-OB.litmus, , 17
C-RW-R3.litmus, , 8
C-LB-GWR+OB-O+OB-OB.litmus, , 21
C-LB-GRR+R-Dd+R-Oc+OB-O+R-Oc.litmus, , 46
C-WR-G+WR-R+WR-R+WR-G+WR-R.litmus, , 52
C-RR-GR+RR-R.litmus, , 22
C-RW-G+RW-r+RW-C+RW-G+RW-G+RW-G+RW-B.litmus, , 212
C-RW-G+RW-G+RW-G+RW-G+RW-r+RW-C.litmus, , 90
C-WW-G+WW-B+WW-R+WW-R+WW-R+WW-G+WW-R.litmus, , 271
C-RR-G+RR-R+RR-R+RR-R+RR-R+RR-R+RR-R+RR-R.litmus, 
C-LB-LRW+R-Dd+R-Oc+R-Oc+R-A.litmus, , 20
C-RW-G+RW-r+RW-C.litmus, , 11
C-RW-G+RW-G+RW-G+RW-Rr+RW-RC+RW-R+RW-R+RW-R.litmus, , 618
C-LB-LRR+R-A+OB-O+OB-O+R-OC.litmus, , 59
C-RW-G+RW-r+RW-a+RW-B+RW-B+RW-B+RW-B+RW-B.litmus, , 619
C-WW-G+WW-G+WW-G+WW-G+WW-G+WW-G+WW-R+WW-R.litmus, , 737
C-RW-G+RW-RB+RW-R+RW-R+RW-R+RW-R+RW-R+RW-R.litmus, , 768
C-RW-G+RW-Rrd+RW-D.litmus, , 13
C-RW-G+RW-G+RW-G+RW-Rr+RW-RC+RW-R.litmus, , 116
C-WW-G+WW-B+WW-G+WW-R+WW-G+WW-G+WW-G+WW-R.litmus, , 735
C-RW-G+RW-G+RW-G+RW-G+RW-G+RW-G+RW-B.litmus, , 344
C-LB-GRW+R-Oc+OB-OB.litmus, , 18
C-RW-G+RW-Rr+RW-Ra+RW-G+RW-G+RW-R+RW-R+RW-R.litmus, , 744
C-WR-H+WR-R+WR-R+WR-G+WR-R+WR-R.litmus, , 146
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R+RW-G.litmus, 
C-LB-GWR+R-Dd+R-Dd+R-A+R-Oc.litmus, , 48
C-LB-LRW+R-OC+OB-O+OB-O+OB-OB.litmus, , 34
C-RW-G+RW-RI+RW-G+RW-RI.litmus, , 25
C-LB-GWW+R-Dd+R-Dd.litmus, , 14
C-WW-G+WW-G+WW-G+WW-G+WW-G.litmus, , 51
C-RW-G+RW-r+RW-C+RW-G+RW-G+RW-G+RW-G+RW-B.litmus, , 515
C-RW-G+RW-Rrd+RW-CD+RW-R+RW-R.litmus, , 44
C-WW-G+WW-B+WW-R+WW-R+WW-G+WW-G+WW-G+WW-R.litmus, , 742
C-LB-GWW+R-Dd+R-A+R-A+R-A.litmus, , 65
C-LB-GWR+R-Dd+R-Dd+R-Oc+R-Oc.litmus, , 42
C-RW-GH+RW-R+RW-R+RW-R+RW-G+RW-R+RW-R.litmus, , 373
C-RR-G+RR-G+RR-G+RR-G.litmus, , 372
C-LB-LRW+R-Dd+R-Oc+R-Dd+R-Oc.litmus, , 22
C-LB-GWW+R-A+R-Oc.litmus, , 17
C-RW-G+RW-G+RW-G+RW-G+RW-RB.litmus, , 66
C-LB-LRW+R-Dd+R-Dd+R-Dd+R-Dcv.litmus, , 23
C-WW-G+WW-B+WW-R+WW-G+WW-G+WW-R.litmus, , 116
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-R+RW-R+RW-R+RW-R.litmus, 
C-LB-GRW+R-Dd+R-Oc+R-A+OB-OB.litmus, , 59
C-RW-G+RW-Rr+RW-RC+RW-R+RW-G+RW-G+RW-R.litmus, , 270
C-RW-G+RW-Rs+RW-RD+RW-R+RW-G+RW-R.litmus, , 115
C-WR-G+WR-R+WR-G+WR-R.litmus, , 25
C-LB-LWR+R-Dd+OB-O+OB-O+OB-OB.litmus, , 38
C-RW-G+RW-G+RW-G+RW-B+RW-B+RW-B+RW-B.litmus, , 295
C-RW-R+RW-R+RW-G+RW-G+RW-G+RW-G+RW-R+RW-R+RW-G+RW-R+RW-G+RW-G.litmus, 
C-WW-G+WW-R+WW-G+WW-G+WW-R+WW-R.litmus, , 124
C-RW-R2I.litmus, , 9
C-RW-G+RW-r+RW-a+RW-B+RW-G+RW-G+RW-G+RW-B.litmus, , 702
C-RW-G+RW-G+RW-R+RW-G+RW-G+RW-G+RW-Rrd+RW-D.litmus, , 629
C-LB-GWW+R-A+R-A+R-Oc+R-Oc.litmus, , 46
C-RW-G+RW-Rr+RW-RC+RW-R+RW-R+RW-R+RW-G+RW-R.litmus, , 539
C-RW-B+RW-B+RW-B+RW-B+RW-B.litmus, , 47
C-LB-Lww+R-Od+R-Od+R-Od.litmus, , 13
C-LB-GRR+R-Oc+OB-O+OB-O+OB-OB.litmus, , 78
C-RW-G+RW-r+RW-C+RW-B+RW-B+RW-B+RW-B.litmus, , 197
C-RW-G+RW-r+RW-a+RW-B.litmus, , 23
C-LB-GRR+R-A+R-A+R-Oc+R-Oc.litmus, , 46
C-LB-LRR+R-Dd+R-Dd+R-Od.litmus, , 21
C-LB-Lwr+R-D+R-D+R-D.litmus, , 19
C-LB-GWR+R-Dd+R-Dd+OB-OB.litmus, , 29
C-RW-G+RW-G+RW-G+RW-R+RW-G+RW-G+RW-G+RW-R.litmus, , 795
C-LB-LRR+R-Dd+R-Dd+R-Dd+R-A.litmus, , 49
C-RW-G+RW-G+RW-G+RW-R+RW-G+RW-G+RW-Rs+RW-RD.litmus, , 708
C-WR-G+WR-R+WR-R+WR-G+WR-R+WR-R+WR-G+WR-R.litmus, , 735
C-LB-LRR+R-A+OB-Dd.litmus, , 16
C-RW-G+RW-Rrd+RW-D+RW-G+RW-G+RW-G+RW-G+RW-R.litmus, , 639
C-RW-G+RW-R1I+RW-G+RW-R1I.litmus, , 26
C-RW-G+RW-G+RW-G+RW-R+RW-R.litmus, , 62
C-WR-G+WR-R+WR-G+WR-G+WR-R+WR-R+WR-R.litmus, , 282
C-LB-LWW+R-A+R-Oc.litmus, , 13
C-WW-G+WW-G+WW-B+WW-R+WW-R+WW-R+WW-R.litmus, , 303
C-RW-G+RW-Rrd+RW-CD+RW-G+RW-G+RW-R+RW-R.litmus, , 266
C-RW-G+RW-R+RW-G+RW-R+RW-R+RW-R+RW-G+RW-R.litmus, , 750
C-RW-B+RW-B.litmus, , 9
C-RW-G+RW-r+RW-C+RW-B.litmus, , 19
C-LB-GWW+R-Dd+OB-O+R-A+R-A.litmus, , 70
C-RW-G+RW-R+RW-R+RW-R+RW-R+RW-R+RW-G+RW-R.litmus, , 800
C-LB-GWW+R-A+R-Oc+R-Oc+OB-OB.litmus, , 54
C-LB-LRW+R-A+R-OC+R-A+R-Oc.litmus, , 27
C-RW-G+RW-G+RW-G+RW-RB+RW-R.litmus, , 66
C-WR-G+WR-G+WR-G+WR-G+WR-G+WR-G+WR-G+WR-R.litmus, , 708
C-LB-GRR+R-Dd+OB-O+R-A+R-A.litmus, , 70
C-WR-G+WR-G+WR-G+WR-G+WR-R+WR-R+WR-R.litmus, , 329
C-WW-GH+WW-R+WW-R+WW-R+WW-R.litmus, , 65
C-LB-GWR+R-A+R-A+OB-O+OB-OB.litmus, , 124
C-LB-LWR+R-Oc+R-Oc+R-Oc+OB-OB.litmus, , 20
C-LB-GWR+R-Dd+OB-O+R-Oc+R-Oc.litmus, , 47
C-LB-LRW+R-A+OB-O+R-A+OB-OB.litmus, , 44
C-LB-GRW+R-Dd+OB-O+R-Dd+R-A.litmus, , 65
C-LB-Lww+R-Oc+R-D+R-OC.litmus, , 16
C-LB-LRW+R-Dd+R-Dd+R-Dcv.litmus, , 13
C-RW-G+RW-r+RW-C+RW-G+RW-B.litmus, , 39
C-LB-Lrw+R-D.litmus, , 8
C-LB-LRW+R-A+OB-O+R-Oc.litmus, , 18
C-LB-GRR+R-Dd+R-Oc+R-Oc+OB-OB.litmus, , 44
